unit,theme,词类,词,pinyin,例句,English translation
1,身份·人称·数,代词,我,wǒ,我很高兴见到你！,I'm very glad to see you.
1,身份·人称·数,代词,你,nǐ,你想喝点什么？,What would you like to drink?
1,身份·人称·数,代词,您,nín,您慢走，欢迎再来。,Take care on your way home. Please come again.
1,身份·人称·数,代词,他,tā,他是我的中文老师。,He's my Chinese teacher.
1,身份·人称·数,代词,她,tā,她在纽约工作。,She works in New York.
1,身份·人称·数,代词,它,tā,小猫饿了，它一直叫。,The kitten is hungry and keeps meowing.
1,身份·人称·数,代词,我们,wǒmen,我们一起去吃饭吧。,Let's go and get something to eat.
1,身份·人称·数,代词,你们,nǐmen,你们是从哪里来的？,Where are you all from?
1,身份·人称·数,代词,他们,tāmen,他们都会说英语。,They can all speak English.
1,身份·人称·数,代词,自己,zìjǐ,这是我自己做的蛋糕。,I made this cake myself.
1,身份·人称·数,代词,大家,dàjiā,大家好，请坐。,"Hello, everyone. Please have a seat."
1,身份·人称·数,代词,别人,biéren,别拿别人的东西。,Don't take other people's things.
1,身份·人称·数,代词,这,zhè,这是我的行李。,This is my luggage.
1,身份·人称·数,代词,那,nà,那是谁的手机？,Whose phone is that?
1,身份·人称·数,代词,谁,shéi,门口站着的人是谁？,Who is standing at the door?
1,身份·人称·数,代词,什么,shénme,你周末想做什么？,What do you want to do this weekend?
1,身份·人称·数,代词,哪,nǎ,你喜欢哪件衣服？,Which item of clothing do you like?
1,身份·人称·数,代词,哪儿,nǎr,洗手间在哪儿？,Where is the restroom?
1,身份·人称·数,数词,一,yī,我要一杯咖啡。,"I'd like a coffee, please."
1,身份·人称·数,数词,二,èr,请到二楼等我。,Please wait for me on the second floor.
1,身份·人称·数,数词,三,sān,我们三点见面。,Let's meet at three.
1,身份·人称·数,数词,四,sì,他家有四口人。,There are four people in his family.
1,身份·人称·数,数词,五,wǔ,现在是下午五点。,It's five o'clock in the afternoon.
1,身份·人称·数,数词,六,liù,我六月去里斯本。,I'm going to Lisbon in June.
1,身份·人称·数,数词,七,qī,一个星期有七天。,There are seven days in a week.
1,身份·人称·数,数词,八,bā,我晚上八点到家。,I get home at eight in the evening.
1,身份·人称·数,数词,九,jiǔ,他儿子今年九岁。,His son is nine years old this year.
1,身份·人称·数,数词,十,shí,他这次考了第十名。,He came tenth in this exam.
1,身份·人称·数,数词,百,bǎi,这里能坐一百个人。,This place seats one hundred people.
1,身份·人称·数,数词,千,qiān,这台电脑八千块。,This computer costs eight thousand yuan.
1,身份·人称·数,数词,万,wàn,这辆车要十万。,This car costs one hundred thousand yuan.
1,身份·人称·数,数词,亿,yì,中国有十四亿人。,China has 1.4 billion people.
1,身份·人称·数,数词,零,líng,我的房间号是三零五。,My room number is 305.
1,身份·人称·数,数词,两,liǎng,我买了两张票。,I bought two tickets.
1,身份·人称·数,数词,半,bàn,我们十点半出发。,We leave at half past ten.
1,身份·人称·数,量词,个,gè,我有三个问题。,I have three questions.
1,身份·人称·数,量词,些,xiē,冰箱里有一些水果。,There's some fruit in the fridge.
1,身份·人称·数,量词,位,wèi,这位是我们的新同事。,This is our new colleague.
1,身份·人称·数,量词,名,míng,我们班有二十名学生。,There are twenty students in our class.
1,身份·人称·数,量词,次,cì,我去过一次北京。,I've been to Beijing once.
1,身份·人称·数,量词,回,huí,这是我第一回坐飞机。,This is my first time flying.
1,身份·人称·数,量词,遍,biàn,请再说一遍。,Please say that again.
1,身份·人称·数,动词,是,shì,他是葡萄牙人。,He's Portuguese.
1,身份·人称·数,动词,有,yǒu,我有两个妹妹。,I have two younger sisters.
1,身份·人称·数,动词,在,zài,我爸妈都在上海。,My parents are both in Shanghai.
1,身份·人称·数,动词,叫,jiào,我叫王明。,My name is Wang Ming.
1,身份·人称·数,动词,姓,xìng,我姓李，你呢？,My surname is Li. What about you?
1,身份·人称·数,动词,住,zhù,我住在波尔图。,I live in Porto.
1,身份·人称·数,动词,出生,chūshēng,我1990年出生在广州。,I was born in Guangzhou in 1990.
1,身份·人称·数,动词,长大,zhǎngdà,我在海边的小城长大。,I grew up in a small town by the sea.
1,身份·人称·数,动词,来自,láizì,她来自法国。,She's from France.
1,身份·人称·数,名词,名字,míngzi,你的名字很好听。,Your name sounds lovely.
1,身份·人称·数,名词,人,rén,车上人太多了。,There are too many people in the car.
1,身份·人称·数,名词,国家,guójiā,你去过哪些国家？,Which countries have you been to?
1,身份·人称·数,名词,国籍,guójí,请写一下您的国籍。,Please write down your nationality.
1,身份·人称·数,名词,家乡,jiāxiāng,我的家乡在南方。,My hometown is in the south.
1,身份·人称·数,名词,老家,lǎojiā,过年我要回老家。,I'm going back to my hometown for the New Year.
1,身份·人称·数,名词,护照,hùzhào,我的护照下个月到期。,My passport expires next month.
1,身份·人称·数,名词,签证,qiānzhèng,我在办去美国的签证。,I'm applying for a visa to the United States.
1,身份·人称·数,名词,身份证,shēnfènzhèng,买火车票要带身份证。,You need to bring your ID to buy a train ticket.
1,身份·人称·数,名词,外国人,wàiguórén,这里有很多外国人。,There are many foreigners here.
1,身份·人称·数,名词,中国人,zhōngguórén,那家店的老板是中国人。,The owner of that shop is Chinese.
1,身份·人称·数,名词,欧洲人,ōuzhōurén,很多欧洲人喜欢喝咖啡。,Many Europeans like drinking coffee.
1,身份·人称·数,名词,美国人,měiguórén,我的邻居是美国人。,My neighbour is American.
1,身份·人称·数,名词,华人,huárén,这个城市有不少华人。,There is quite a large Chinese community in this city.
1,身份·人称·数,名词,移民,yímín,他们十年前移民到了加拿大。,They emigrated to Canada ten years ago.
1,身份·人称·数,名词,游客,yóukè,夏天这里游客特别多。,There are especially many tourists here in summer.
1,身份·人称·数,名词,留学生,liúxuéshēng,她是来自韩国的留学生。,She's an international student from Korea.
1,身份·人称·数,名词,身份,shēnfèn,他的身份是记者。,He's a journalist.
1,身份·人称·数,动词,旅游,lǚyóu,我们打算去意大利旅游。,We're planning to travel to Italy.
1,身份·人称·数,动词,旅行,lǚxíng,一个人旅行很自由。,Travelling alone gives you a lot of freedom.
1,身份·人称·数,动词,出国,chūguó,他明年想出国读书。,He wants to study abroad next year.
1,身份·人称·数,动词,回国,huíguó,她下星期回国看父母。,She's going home next week to see her parents.
1,身份·人称·数,动词,搬家,bānjiā,我们上个月刚搬家。,We moved house just last month.
1,身份·人称·数,动词,定居,dìngjū,他们决定在里斯本定居。,They have decided to settle in Lisbon.
2,家庭·关系,名词,爸爸,bàba,我爸爸会做很多菜。,My dad can cook lots of dishes.
2,家庭·关系,名词,妈妈,māma,妈妈每天送我上学。,My mum takes me to school every day.
2,家庭·关系,名词,爷爷,yéye,爷爷喜欢早上散步。,Grandpa likes taking a walk in the morning.
2,家庭·关系,名词,奶奶,nǎinai,奶奶做的饺子最好吃。,Grandma makes the best dumplings.
2,家庭·关系,名词,外公,wàigōng,外公教我下棋。,My maternal grandfather taught me to play Chinese chess.
2,家庭·关系,名词,外婆,wàipó,外婆住在乡下。,My maternal grandmother lives in the countryside.
2,家庭·关系,名词,哥哥,gēge,我哥哥比我高。,My older brother is taller than I am.
2,家庭·关系,名词,姐姐,jiějie,姐姐在医院当护士。,My older sister works as a nurse at a hospital.
2,家庭·关系,名词,弟弟,dìdi,弟弟今年上小学。,My younger brother starts primary school this year.
2,家庭·关系,名词,妹妹,mèimei,妹妹喜欢画画。,My younger sister likes drawing.
2,家庭·关系,名词,儿子,érzi,他儿子会说三种语言。,His son can speak three languages.
2,家庭·关系,名词,女儿,nǚ'ér,我女儿刚学会走路。,My daughter has just learned to walk.
2,家庭·关系,名词,丈夫,zhàngfu,她丈夫是工程师。,Her husband is an engineer.
2,家庭·关系,名词,妻子,qīzi,他和妻子一起开店。,He runs a shop with his wife.
2,家庭·关系,名词,老公,lǎogōng,我老公不爱吃辣。,My husband doesn't like spicy food.
2,家庭·关系,名词,老婆,lǎopó,他给老婆买了花。,He bought flowers for his wife.
2,家庭·关系,名词,家人,jiārén,周末我想多陪陪家人。,I want to spend more time with my family this weekend.
2,家庭·关系,名词,家庭,jiātíng,她有一个幸福的家庭。,She has a happy family.
2,家庭·关系,名词,亲戚,qīnqi,春节我们去亲戚家吃饭。,We visit relatives for a meal during the Spring Festival.
2,家庭·关系,名词,叔叔,shūshu,叔叔送了我一辆自行车。,My uncle gave me a bicycle.
2,家庭·关系,名词,阿姨,āyí,楼下的阿姨人很好。,The auntie downstairs is very kind.
2,家庭·关系,名词,大人,dàren,这部电影大人小孩都爱看。,Both adults and children love this film.
2,家庭·关系,名词,小孩,xiǎohái,公园里有很多小孩在玩。,Many children are playing in the park.
2,家庭·关系,名词,宝宝,bǎobao,宝宝睡着了，小声一点。,"The baby is asleep, so please keep your voice down."
2,家庭·关系,名词,夫妻,fūqī,这对夫妻结婚二十年了。,This couple have been married for twenty years.
2,家庭·关系,名词,老人,lǎorén,请给老人让个座。,Please give up your seat for an older person.
2,家庭·关系,名词,年轻人,niánqīngrén,现在的年轻人喜欢点外卖。,Young people today like ordering takeaway.
2,家庭·关系,名词,邻居,línjū,我们和邻居关系很好。,We get along very well with our neighbours.
2,家庭·关系,名词,同学,tóngxué,我和老同学吃了个饭。,I had a meal with an old classmate.
2,家庭·关系,名词,同事,tóngshì,同事们都很热心。,My colleagues are all very helpful.
2,家庭·关系,名词,老师,lǎoshī,老师让我们多练口语。,The teacher told us to practise speaking more.
2,家庭·关系,名词,领导,lǐngdǎo,领导今天不在办公室。,The manager isn't in the office today.
2,家庭·关系,名词,老板,lǎobǎn,老板同意给我加工资了。,My boss agreed to give me a pay rise.
2,家庭·关系,名词,朋友,péngyou,好朋友要互相帮助。,Good friends should help each other.
2,家庭·关系,名词,男朋友,nánpéngyou,她男朋友很会做饭。,Her boyfriend is a very good cook.
2,家庭·关系,名词,女朋友,nǚpéngyou,他送女朋友回家了。,He walked his girlfriend home.
2,家庭·关系,动词,爱,ài,我很爱我的家人。,I love my family very much.
2,家庭·关系,动词,喜欢,xǐhuan,我特别喜欢秋天。,I especially like autumn.
2,家庭·关系,动词,照顾,zhàogù,谢谢你照顾我的猫。,Thank you for looking after my cat.
2,家庭·关系,动词,关心,guānxīn,妈妈总是关心我的身体。,Mum is always concerned about my health.
2,家庭·关系,动词,结婚,jiéhūn,他们打算明年结婚。,They plan to get married next year.
2,家庭·关系,动词,离婚,líhūn,他们去年离婚了。,They got divorced last year.
2,家庭·关系,动词,认识,rènshi,很高兴认识你。,It's very nice to meet you.
2,家庭·关系,动词,帮忙,bāngmáng,需要我帮忙吗？,Do you need a hand?
2,家庭·关系,动词,陪,péi,晚上我陪你去医院。,I'll go to the hospital with you tonight.
2,家庭·关系,动词,想念,xiǎngniàn,我很想念家乡的味道。,I really miss the flavours of my hometown.
2,家庭·关系,形容词,亲,qīn,她和外婆最亲。,She's closest to her grandmother.
2,家庭·关系,形容词,熟,shú,我们俩很熟，别客气。,"We know each other well, so don't be formal."
2,家庭·关系,形容词,年轻,niánqīng,你看起来真年轻。,You look so young.
2,家庭·关系,形容词,可爱,kě'ài,这只小狗太可爱了。,This puppy is so cute.
2,家庭·关系,形容词,好,hǎo,这里的咖啡真好喝。,The coffee here is really good.
2,家庭·关系,形容词,单身,dānshēn,他现在还是单身。,He's still single.
3,身体·健康,名词,头,tóu,我头有点疼。,I have a bit of a headache.
3,身体·健康,名词,脸,liǎn,她的脸红了。,Her face turned red.
3,身体·健康,名词,眼睛,yǎnjing,看书太久，眼睛很累。,My eyes are tired from reading for too long.
3,身体·健康,名词,鼻子,bízi,感冒了，鼻子不通气。,"I have a cold, and my nose is blocked."
3,身体·健康,名词,嘴,zuǐ,他嘴里吃着东西，说不了话。,"His mouth is full, so he can't talk."
3,身体·健康,名词,耳朵,ěrduo,兔子的耳朵长长的。,Rabbits have long ears.
3,身体·健康,名词,牙,yá,我一颗牙坏了，得去看牙医。,"One of my teeth is bad, so I need to see a dentist."
3,身体·健康,名词,舌头,shétou,汤太烫，烫到舌头了。,The soup was so hot that I burned my tongue.
3,身体·健康,名词,脖子,bózi,坐久了，脖子很酸。,My neck is sore from sitting too long.
3,身体·健康,名词,肩膀,jiānbǎng,他拍了拍我的肩膀。,He patted me on the shoulder.
3,身体·健康,名词,手,shǒu,吃饭前要洗手。,You should wash your hands before eating.
3,身体·健康,名词,手指,shǒuzhǐ,她的手指又细又长。,Her fingers are long and slender.
3,身体·健康,名词,胳膊,gēbo,我打球伤了胳膊。,I hurt my arm playing ball.
3,身体·健康,名词,腿,tuǐ,走了一天，腿都软了。,"After walking all day, my legs feel weak."
3,身体·健康,名词,脚,jiǎo,这双鞋有点挤脚。,These shoes are a bit tight.
3,身体·健康,名词,肚子,dùzi,我肚子饿得咕咕叫。,My stomach is growling because I'm hungry.
3,身体·健康,名词,背,bèi,他的背晒黑了。,His back got tanned in the sun.
3,身体·健康,名词,腰,yāo,搬东西的时候小心腰。,Be careful with your back when lifting things.
3,身体·健康,名词,心,xīn,听到这个消息，我心里难受。,That news made me feel terrible.
3,身体·健康,名词,皮肤,pífū,冬天皮肤容易干。,Skin gets dry easily in winter.
3,身体·健康,名词,头发,tóufa,她剪短了头发。,She cut her hair short.
3,身体·健康,名词,血,xuè,手指破了，流了一点血。,I cut my finger and it bled a little.
3,身体·健康,名词,骨头,gǔtou,狗最爱啃骨头。,Dogs love chewing bones.
3,身体·健康,名词,身体,shēntǐ,爷爷的身体一直不错。,Grandpa has always been in good health.
3,身体·健康,名词,个子,gèzi,他个子高，坐后排吧。,"He's tall, so he should sit in the back row."
3,身体·健康,名词,力气,lìqi,这箱子太重，我没力气搬。,This box is too heavy for me to move.
3,身体·健康,名词,病,bìng,他的病已经好了。,He's recovered from his illness.
3,身体·健康,名词,感冒,gǎnmào,天冷了，小心感冒。,"It's getting cold, so be careful not to catch a cold."
3,身体·健康,名词,药,yào,这个药一天吃三次。,Take this medicine three times a day.
3,身体·健康,名词,医院,yīyuàn,医院就在地铁站旁边。,The hospital is right next to the metro station.
3,身体·健康,名词,医生,yīshēng,医生让我多喝水。,The doctor told me to drink more water.
3,身体·健康,名词,护士,hùshi,护士帮我量了体温。,The nurse took my temperature.
3,身体·健康,名词,精神,jīngshén,今天精神很好。,I feel full of energy today.
3,身体·健康,名词,命,mìng,医生救了他的命。,The doctor saved his life.
3,身体·健康,名词,气,qì,他跑上五楼，喘不过气。,He ran up to the fifth floor and was out of breath.
3,身体·健康,名词,汗,hàn,他跑完步，满头是汗。,"After running, his head was covered in sweat."
3,身体·健康,名词,病人,bìngrén,这位病人需要休息。,This patient needs to rest.
3,身体·健康,名词,体检,tǐjiǎn,公司每年安排一次体检。,The company arranges an annual health check-up.
3,身体·健康,名词,口罩,kǒuzhào,医院里要戴口罩。,You need to wear a mask in the hospital.
3,身体·健康,动词,睡,shuì,昨晚我十一点才睡。,I didn't go to bed until eleven last night.
3,身体·健康,动词,醒,xǐng,我今天六点就醒了。,I woke up at six today.
3,身体·健康,动词,休息,xiūxi,累了就休息一会儿。,Rest for a while when you're tired.
3,身体·健康,动词,生病,shēngbìng,他生病了，今天不来上课。,"He's ill, so he isn't coming to class today."
3,身体·健康,动词,看病,kànbìng,网上也可以预约看病。,You can book a doctor's appointment online too.
3,身体·健康,动词,咳嗽,késou,他咳嗽了一整夜。,He coughed all night.
3,身体·健康,动词,发烧,fāshāo,孩子发烧了。,The child has a fever. 
3,身体·健康,动词,受伤,shòushāng,踢球的时候他受伤了。,He was injured while playing football.
3,身体·健康,动词,洗澡,xǐzǎo,我习惯晚上洗澡。,I'm used to taking a shower at night.
3,身体·健康,动词,刷牙,shuāyá,睡前别忘了刷牙。,Don't forget to brush your teeth before bed.
3,身体·健康,动词,运动,yùndòng,每周运动三次对身体好。,Exercising three times a week is good for your health.
3,身体·健康,动词,锻炼,duànliàn,爷爷每天早上去锻炼。,Grandpa goes to exercise every morning.
3,身体·健康,动词,长,zhǎng,这孩子长得像妈妈。,This child looks like his mother.
3,身体·健康,动词,健身,jiànshēn,他下班后去健身房健身。,He goes to the gym after work.
3,身体·健康,形容词,疼,téng,牙疼起来吃不下饭。,"When my tooth hurts, I can't eat."
3,身体·健康,形容词,累,lèi,今天开了一天会，好累。,I've had meetings all day. I'm exhausted.
3,身体·健康,形容词,困,kùn,中午不睡，下午就困。,"If I don't nap at midday, I get sleepy in the afternoon."
3,身体·健康,形容词,饿,è,我饿了，先吃点东西吧。,I'm hungry. Let's eat something first.
3,身体·健康,形容词,渴,kě,跑完步特别渴。,I'm especially thirsty after running.
3,身体·健康,形容词,饱,bǎo,我吃饱了，你们慢用。,I'm full. Please enjoy your meal.
3,身体·健康,形容词,舒服,shūfu,这张沙发坐着真舒服。,This sofa is really comfortable.
3,身体·健康,形容词,健康,jiànkāng,祝你身体健康。,I wish you good health.
